old sampleid,sampleid,replicate,sitecode,species,role,delta13c,delta15n,c_n_ratio
HT-S18-212-7,HT-S18-212-MT7,0,HT,creek chub,cc,-25.27,13.236,3.539687883
HT-S18-281-17,HT-S18-281-17,0,HT,brook stickleback,planktivore,-26.209,14.234,3.388910672
HT-S18-281-25,HT-S18-281-25,0,HT,brook stickleback,planktivore,-26.473,13.008,3.601676695
HT-S18-281-36,HT-S18-281-36,0,HT,brook stickleback,planktivore,-27.531,14.975,3.58798887
HT-S18-341-23,HT-S18-341-23,0,HT,johnny darter,invertivore,-26.387,13.902,3.40384725
HT-S18-341-26,HT-S18-341-26,0,HT,johnny darter,invertivore,-26.967,13.642,3.379790849
HT-S18-341-28,HT-S18-341-28,0,HT,johnny darter,invertivore,-25.295,13.559,3.469846128
HT-S18-ALGAE-1,HT-S18-ALGAE-1,0,HT,algae,algae,-33.671,7.706,9.668138938
HT-S18-ALGAE-2,HT-S18-ALGAE-2,0,HT,algae,algae,-33.753,7.693,9.346463083
HT-S18-ALGAE-3,HT-S18-ALGAE-3,0,HT,algae,algae,-33.265,7.795,9.970937349
HT-S18-AQU-1,HT-S18-AQU-1,0,HT,mayfly/caddisfly,aqbase,-26.914,9.462,4.677666536
HT-S18-AQU-2,HT-S18-AQU-2,0,HT,mayfly/caddisfly,aqbase,-26.922,9.6,4.654602052
HT-S18-DET-1,HT-S18-DET-1,0,HT,detritus,det,-27.276,4.144,16.80588235
HT-S18-DET-1 A,HT-S18-DET-1 A,1,HT,detritus,det,-27.227,3.692,16.8383492
HT-S18-DET-1 B,HT-S18-DET-1 B,1,HT,detritus,det,-27.275,4.023,16.76646248
HT-S18-DET-1,HT-S18-DET-1,0,HT,detritus,det,-27.251,3.8575,16.80240584
HT-S18-DET-2,HT-S18-DET-2,0,HT,detritus,det,-27.417,4.141,17.9610422
HT-S18-DET-3,HT-S18-DET-3,0,HT,detritus,det,-27.549,4.157,19.86436693
HT-S18-GOL-1,HT-S18-GOL-1,0,HT,goldenrod,terpp,-33.258,-2.952,14.07515669
HT-S18-GOL-2,HT-S18-GOL-2,0,HT,goldenrod,terpp,-33.503,-3.027,13.22725438
HT-S18-GOL-3,HT-S18-GOL-3,0,HT,goldenrod,terpp,-33.319,-3.113,13.79347174
HT-S18-SNAIL-1,HT-S18-SNAIL-1,0,HT,european garden snail,terbase,-23.344,-0.329,4.697544774
HT-S18-SNAIL-2,HT-S18-SNAIL-2,0,HT,european garden snail,terbase,-23.224,0.227,4.583361881
HT-S18-SNAIL-3,HT-S18-SNAIL-3,0,HT,european garden snail,terbase,-23.026,-0.043,4.627976978
JC-S18-163-1,JC-S18-163-1,0,JC,white sucker,detritivore,-28.536,13.571,3.373476703
JC-S18-163-2,JC-S18-163-2,0,JC,white sucker,detritivore,-30.912,13.129,3.278839349
JC-S18-212-1,JC-S18-212-1,0,JC,creek chub,cc,-26.916,12.321,3.308185053
JC-S18-212-2,JC-S18-212-2,0,JC,creek chub,cc,-25.687,9.953,3.345070423
JC-S18-212-3,JC-S18-212-3,0,JC,creek chub,cc,-26.081,11.993,3.302752294
JC-S18-212-4,JC-S18-212-4,0,JC,creek chub,cc,-26.059,11.873,3.308398024
JC-S18-212-5,JC-S18-212-5,0,JC,creek chub,cc,-25.627,9.482,3.384285714
JC-S18-212-6,JC-S18-212-6,0,JC,creek chub,cc,-27.575,13.013,3.368953069
JC-S18-212-7,JC-S18-212-7,0,JC,creek chub,cc,-26.118,10.609,3.365800866
JC-S18-800-1,JC-S19-381-1,0,JC,mottled sculpin,invertivore,-28.82555345,14.44009408,3.457617534
JC-S18-800-6,JC-S19-381-6,0,JC,mottled sculpin,invertivore,-28.42193596,14.98274566,3.266093323
JC-S18-800-7,JC-S18-381-7,0,JC,mottled sculpin,invertivore,-28.38452751,15.12597339,3.311577564
JC-S18-ALG-1,JC-S18-ALG-1,0,JC,algae,algae,-33.228,12.286,11.04854369
JC-S18-ALG-2,JC-S18-ALG-2,0,JC,algae,algae,-33.468,12.34,10.86407767
JC-S18-ALG-3,JC-S18-ALG-3,0,JC,algae,algae,-34.629,11.311,10.04761905
JC-S18-AQU-1,JC-S18-AQU-1,0,JC,mayfly/caddisfly,aqbase,-31.08974916,11.82770083,5.31289788
JC-S18-AQU-2 A,JC-S18-AQU-2 A,1,JC,mayfly/caddisfly,aqbase,-31.38507903,11.92453085,5.088213808
JC-S18-AQU-2 B,JC-S18-AQU-2 B,1,JC,mayfly/caddisfly,aqbase,-31.07892039,12.18677882,5.224290229
JC-S18-AQU-2 C,JC-S18-AQU-2 C,1,JC,mayfly/caddisfly,aqbase,-30.9086135,11.45954502,5.039311794
JC-S18-AQU-2,JC-S18-AQU-2,0,JC,mayfly/caddisfly,aqbase,-31.12420431,11.85695156,5.117271944
JC-S18-AQU-3,JC-S18-AQU-3,0,JC,mayfly/caddisfly,aqbase,-31.07399823,11.82366625,4.669811537
JC-S18-DET-1 A,JC-S18-DET-1 A,1,JC,detritus,det,-28.042,6.066,18.45517241
JC-S18-DET-1 B,JC-S18-DET-1 B,1,JC,detritus,det,-27.866,5.902,18.10810811
JC-S18-DET-1 C,JC-S18-DET-1 C,1,JC,detritus,det,-27.842,5.788,18.65306122
JC-S18-DET-1,JC-S18-DET-1,0,JC,detritus,det,-27.91666667,5.918666667,18.40544725
JC-S18-DET-2,JC-S18-DET-2,0,JC,detritus,det,-28.23317536,5.655000434,16.4779192
JC-S18-DET-3,JC-S18-DET-3,0,JC,detritus,det,-28.28470018,5.549268806,17.9796908
JC-S18-GOL-1,JC-S18-GOL-1,0,JC,goldenrod,terpp,-34.14961098,-1.214505432,19.01500569
JC-S18-GOL-2,JC-S18-GOL-2,0,JC,goldenrod,terpp,-34.1515927,-1.081324247,18.8526556
JC-S18-GOL-3,JC-S18-GOL-3,0,JC,goldenrod,terpp,-34.15258356,-0.974575969,18.67921868
JC-S18-TER-1,JC-S18-TER-1,0,JC,snails/caterpillars,terbase,-29.56978474,1.970203038,5.654068973
JC-S18-TER-2,JC-S18-TER-2,0,JC,snails/caterpillars,terbase,-28.93679437,1.374093225,5.546044927
JC-S18-TER-3,JC-S18-TER-3,0,JC,snails/caterpillars,terbase,-29.06575508,2.42611105,5.55582778
JW-S18-163-12,JW-S18-163-12,0,JW,white sucker,detritivore,-26.63519022,13.53533858,3.153417696
JW-S18-163-8,JW-S18-163-8,0,JW,white sucker,detritivore,-24.62005604,15.49211191,3.169486853
JW-S18-163-9,JW-S18-163-9,0,JW,white sucker,detritivore,-25.9854645,15.57784682,3.162061899
JW-S18-198-10,JW-S18-198-10,0,JW,common shiner,invertivore,-25.94116502,16.29600281,3.391937981
JW-S18-198-4,JW-S18-198-4,0,JW,common shiner,invertivore,-27.12051565,15.62323589,4.09788693
JW-S18-198-7,JW-S18-198-7,0,JW,common shiner,invertivore,-27.52117984,15.38418678,3.309093657
JW-S18-208-11,JW-S18-208-11,0,JW,bluntnose minnow,detritivore,-26.62829919,14.59946016,3.258557807
JW-S18-208-13,JW-S18-208-13,0,JW,bluntnose minnow,detritivore,-28.4111072,16.07914391,3.202639953
JW-S18-208-6 A,JW-S18-208-6 A,1,JW,bluntnose minnow,detritivore,-26.87834515,15.65652121,3.321649039
JW-S18-208-6 B,JW-S18-208-6 B,1,JW,bluntnose minnow,detritivore,-26.93642669,15.69384112,3.324109651
JW-S18-208-6,JW-S18-208-6,0,JW,bluntnose minnow,detritivore,-26.90738592,15.67518117,3.322879345
JW-S18-212-11,JW-S18-212-11,0,JW,creek chub,cc,-24.94443171,10.70451669,3.338565769
JW-S18-212-14,JW-S18-212-14,0,JW,creek chub,cc,-25.12786474,12.04164292,3.294548354
JW-S18-212-15,JW-S18-212-15,0,JW,creek chub,cc,-25.42273828,11.53000292,3.230838653
JW-S18-212-16,JW-S18-212-16,0,JW,creek chub,cc,-25.98881657,12.63906083,3.233420988
JW-S18-212-17,JW-S18-212-17,0,JW,creek chub,cc,-25.45922765,11.76412616,3.237542438
JW-S18-212-18,JW-S18-212-18,0,JW,creek chub,cc,-25.47697923,11.96898398,3.30915192
JW-S18-212-26,JW-S18-212-26,0,JW,creek chub,cc,-25.16534031,12.89841286,3.274182459
JW-S18-212-27,JW-S18-212-27,0,JW,creek chub,cc,-25.10518217,12.45438603,3.260139398
JW-S18-212-6,JW-S18-212-6,0,JW,creek chub,cc,-28.48291413,10.71763567,4.146449969
JW-S18-212-7,JW-S18-212-7,0,JW,creek chub,cc,-26.1821116,12.9206142,3.205534306
JW-S18-341-21 A,JW-S18-341-21 A,1,JW,johnny darter,invertivore,-24.46612514,11.56229578,3.325150099
JW-S18-341-21 B,JW-S18-341-21 B,1,JW,johnny darter,invertivore,-24.3980774,11.53202123,3.324229081
